x,y
0.1,0.880785817964407
0.2,-0.12560816550212855
0.30000000000000004,1.8633426778065576
0.4,0.745169472624265
0.5,0.9579169838050475
0.6,-0.876544928566926
0.7000000000000001,0.7478539028018518
0.8,0.6309790475373205
0.9,0.49520179043406337
1.0,0.9103856516986844
1.1,0.6316067113344622
1.2000000000000002,0.9531206072188262
1.3000000000000003,1.7959975006986673
1.4000000000000001,0.6659958701876575
1.5000000000000002,-0.02454061667836749
1.6,2.149715463357417
1.7000000000000002,1.4961211037164575
1.8000000000000003,2.7059480343080895
1.9000000000000001,0.9186482527116973
2.0,1.271936743562482
2.1,1.4213471346185589
2.2,1.0121765435375831
2.3000000000000003,1.9137587864453098
2.4000000000000004,1.0411008112634776
2.5000000000000004,1.332846502627856
2.6,3.084892670226879
2.7,1.7067855145835131
2.8000000000000003,3.3743905685231566
2.9000000000000004,1.9036255101384874
3.0000000000000004,1.976965161470416
3.1,4.098952197819891
3.2,4.1123104565039075
3.3000000000000003,1.9777906946374537
3.4000000000000004,1.470124790805155
3.5000000000000004,3.5606976231289704
3.6,3.514888052273422
3.7,3.0498896857719116
3.8000000000000003,3.5792231673171067
3.9000000000000004,3.4543854920033423
4.0,4.106046854692515
4.1,3.444146593652426
4.2,6.091098293666145
4.3,3.626090588317382
4.3999999999999995,3.1814631235951705
4.5,3.885342132786087
4.6,3.1909715374285197
4.7,4.710466612471776
4.8,4.828825251560623
4.9,5.27988279905592
5.0,6.979058444525222
5.1,4.32654737338301
5.2,6.620178139818199
5.3,6.565157391107432
5.4,3.6019426944547037
5.5,3.7754670306458094
5.6,5.427346472933918
5.7,6.734201443321626
5.8,6.385618978227269
5.9,5.2906412272291785
6.0,4.857838576608186
6.1,5.380981137126309
6.2,4.599971063601839
6.3,6.728617945215199
6.4,6.516155148338667
6.5,6.857877488047048
6.6,4.249058660809077
6.7,6.845013828362569
6.8,5.643129994280779
6.9,8.214411849377592
7.0,6.133765198623163
7.1,7.1320112106266835
7.2,6.622130036901414
7.3,6.999309986582424
7.4,7.815031523651516
7.5,8.067663355319215
7.6,8.690305956635264
7.7,8.380704590092899
7.8,9.218813071169338
7.9,8.703831293966598
8.0,6.991826770796776
8.1,8.464705747418481
8.2,7.848547987775743
8.3,8.295502587294248
8.4,7.809441682349021
8.5,9.601548920550457
8.6,8.21503895769737
8.7,7.479175730386156
8.8,9.359009158146936
8.9,8.17301316991474
9.0,8.930818427378455
9.1,8.445707904876173
9.2,9.398735504505183
9.3,9.642999556657939
9.4,9.892479387304954
9.5,8.076158444459637
9.6,10.403696400510084
9.700000000000001,8.346880402516708
9.8,9.296185772810425
9.9,12.084774991957577
10.0,10.27116188552544
