x,y
0.1,-1.2153702738048817
0.2,-2.3649094496269427
0.30000000000000004,0.19430644416010448
0.4,1.8045022837685367
0.5,-1.5142778031459243
0.6,1.4311890000804617
0.7000000000000001,1.1474079184756716
0.8,1.4141371413909067
0.9,1.7100674891088632
1.0,1.0674501414508302
1.1,1.9230520171241485
1.2000000000000002,-0.1253039098260802
1.3000000000000003,-0.46420088001997706
1.4000000000000001,2.086353454426254
1.5000000000000002,1.174552336902293
1.6,2.3893643535644022
1.7000000000000002,1.2010840225477293
1.8000000000000003,1.3919725281520567
1.9000000000000001,4.44248714356877
2.0,2.4999106927538155
2.1,2.595316925005378
2.2,1.471789332675928
2.3000000000000003,3.0231250686040063
2.4000000000000004,1.4759376074262764
2.5000000000000004,1.2558558639817297
2.6,1.9188290849287113
2.7,2.2278902131808622
2.8000000000000003,2.718704204041946
2.9000000000000004,2.7365868304601673
3.0000000000000004,3.197989844527334
3.1,2.055290048169888
3.2,2.8248536559637514
3.3000000000000003,2.210410961937872
3.4000000000000004,5.116280121880302
3.5000000000000004,3.240431311825889
3.6,5.459439158490948
3.7,4.1254337801897325
3.8000000000000003,3.955847874782231
3.9000000000000004,3.1827901452949234
4.0,3.1545283818514167
4.1,3.7708409375902123
4.2,4.9790238258552995
4.3,2.851727368710576
4.3999999999999995,5.381237878384541
4.5,4.0826090198401275
4.6,6.051062727419271
4.7,3.2290330060313766
4.8,6.193915929480565
4.9,3.8975139298392163
5.0,5.5610007474924785
5.1,4.254928669779274
5.2,4.971717893093416
5.3,7.834853158146345
5.4,6.113537031044951
5.5,3.2998198813672897
5.6,5.996185628692121
5.7,3.6237798379817
5.8,5.996699411260404
5.9,5.683838184972559
6.0,5.316645335776264
6.1,5.193357923814959
6.2,6.912222786548263
6.3,4.5743436072576085
6.4,8.309264154037061
6.5,6.339996711964796
6.6,6.544037474396954
6.7,6.355939042236404
6.8,5.514166971511427
6.9,7.869724998386546
7.0,7.36979204211047
7.1,5.778175487726385
7.2,7.633264157303233
7.3,7.495094847864481
7.4,7.550259980208542
7.5,7.256947750532746
7.6,7.371997424892572
7.7,7.293487835787206
7.8,8.136121580795953
7.9,6.560045839732897
8.0,7.499006020675815
8.1,7.634045311146362
8.2,7.228394687292269
8.3,9.584331868729745
8.4,6.988805714528965
8.5,6.309599301216007
8.6,7.643982218583151
8.7,7.732651827834407
8.8,8.686493272647025
8.9,8.367769757759856
9.0,8.957972919094995
9.1,8.791407121403704
9.2,8.782964444210105
9.3,9.801057757194984
9.4,9.814421751872464
9.5,8.32366573661602
9.6,11.537514917764835
9.700000000000001,10.15882905626737
9.8,10.176745186464519
9.9,9.89907944161273
10.0,7.020493338254631
